id,name,status,is_acquired,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,age_first_milestone_year,age_last_milestone_year,avg_participants,state,industry_type,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,is_top500,funding_total_usd_log10,milestone_age_span,funding_age_span,has_milestone_age
c:15652,Anystream,acquired,1,0.0,7.1068,9,3,59000000,3,6.0055,10.9041,2.0,VA,software,1,0,0,0,1,0,1,7.770852019003067,4.8986,7.1068,1
c:144825,CakeStyle,closed,0,1.0356,1.0356,2,1,1000000,2,0.0,1.0356,1.0,IL,web,0,1,0,0,0,0,0,6.0000004342942646,1.0356,0.0,1
c:9772,Fluther,acquired,1,2.7233,2.7233,5,1,600000,3,0.9151,6.3096,7.0,CA,web,0,1,0,0,0,0,1,5.7781519742071765,5.3945,0.0,1
c:19101,Pocket Communications Northeast,closed,0,2.8356,3.1397,0,2,125000000,2,3.3781,3.7753,2.0,CT,mobile,0,0,1,1,0,0,1,8.096910016482413,0.3972000000000002,0.30410000000000004,1
c:1612,Goodreads,acquired,1,0.7945,2.9014,11,2,2750000,3,3.0493,6.5233,4.0,CA,web,0,1,1,0,0,0,1,6.4393328517555,3.4739999999999998,2.1069000000000004,1
c:17620,Woven Systems,acquired,1,2.9178,4.7342,1,2,30000000,0,,,2.5,CA,network_hosting,0,0,1,1,0,0,1,7.477121269196145,,1.8164000000000002,0
c:43873,Kolorific,closed,0,4.0137,4.0137,0,1,7000000,0,,,1.0,CA,semiconductor,0,0,0,0,1,0,0,6.845098102056321,,0.0,0
c:3986,Krugle,acquired,1,0.411,0.411,10,1,6100000,2,0.0,2.5342,4.0,CA,search,0,0,0,1,0,0,1,6.785329906206578,2.5342,0.0,1
c:61592,Flud,closed,0,0.5315,1.9205,12,3,2100000,2,2.2548,2.9781,4.0,CA,enterprise,1,1,0,0,0,0,1,6.322219501540766,0.7233,1.3890000000000002,1
c:35236,Chomp,acquired,1,0.1452,0.5014,10,2,2565000,3,0.4959,3.011,3.5,CA,mobile,0,1,1,0,0,0,1,6.40908753876339,2.5151000000000003,0.35619999999999996,1
c:31968,Origen Therapeutics,closed,0,10.7589,10.7589,0,1,2000000,0,,,1.0,CA,biotech,0,0,0,0,0,0,0,6.301030212811168,,0.0,0
c:27620,Inlet Technologies,acquired,1,2.5671,5.6904,3,3,22400000,1,2.0027,2.0027,3.6667,NC,network_hosting,1,0,0,1,1,0,1,7.3502480377223085,0.0,3.1233000000000004,1
c:9816,ShopWiki,acquired,1,1.0822,1.0822,12,1,6250000,1,6.0027,6.0027,1.0,NY,ecommerce,0,0,1,0,0,0,0,6.795880086831187,0.0,0.0,1
c:52566,Fondu,acquired,1,1.7479,1.7479,4,1,575000,2,1.0,2.1096,6.0,NY,web,0,1,0,0,0,0,0,5.7596685999837245,1.1096,0.0,1
c:49236,Loudcaster,closed,0,0.0,0.5808,1,2,53000,1,0.0,0.0,1.0,MA,web,0,1,0,0,0,0,1,4.724284063758994,0.0,0.5808,1
c:2234,TwoFish,acquired,1,0.9151,2.7753,6,2,9500000,2,3.0027,3.6466,2.5,CA,ecommerce,0,0,1,1,0,0,1,6.977723651004054,0.6438999999999999,1.8602,1
c:3505,Workstreamer,closed,0,-0.7479,0.8192,7,2,3500000,2,-1.7507,0.2521,1.0,TX,enterprise,0,1,1,0,0,0,1,6.5440681684343955,2.0027999999999997,1.5671,1
c:56989,Qwiki,acquired,1,0.7726,1.4959,14,3,10500000,3,-0.5863,3.7534,6.3333,NY,photo_video,1,0,1,0,0,0,1,7.021189340431316,4.339700000000001,0.7233,1
c:28482,Redwood Systems,acquired,1,0.7562,4.4137,14,4,34250000,2,2.7836,4.0027,2.25,CA,cleantech,1,0,1,1,1,0,1,7.534660588508575,1.2191,3.6575000000000006,1
c:40324,Artisan Pharma,acquired,1,0.6795,4.5507,2,5,85381111,0,,,4.6667,MA,biotech,0,0,1,1,1,0,1,7.931361806737769,,3.8712,0
c:1595,Bill Me Later,acquired,1,6.1671,7.9205,6,3,100000000,3,8.0055,11.2548,2.5,MD,web,1,0,1,0,0,0,1,8.000000004342946,3.2493,1.7534,1
c:31294,Bueda,closed,0,-1.011,1.4877,3,2,125000,2,0.4055,1.3205,1.0,PA,advertising,1,1,0,0,0,0,1,5.096913487350014,0.915,2.4987,1
c:43875,Defywire,closed,0,2.3178,4.2356,2,2,10600000,1,-0.3342,-0.3342,3.0,VA,mobile,1,0,0,1,0,0,1,7.025305906235946,0.0,1.9177999999999997,1
c:16562,Silicon Clocks,acquired,1,2.4192,5.4384,2,3,26100000,1,2.0027,2.0027,3.5,CA,semiconductor,1,0,0,1,0,0,1,7.416640523977916,0.0,3.0191999999999997,1
c:18075,TheMarkets,acquired,1,7.5315,7.5315,2,1,30000000,1,10.7342,10.7342,5.0,NY,web,1,0,0,0,0,0,1,7.477121269196145,0.0,0.0,1
c:86120,Netgamix Inc,closed,0,1.0575,1.7699,6,3,132885,2,1.0301,1.1123,1.0,IL,games_video,0,1,0,0,0,0,1,5.123479228926055,0.08220000000000005,0.7123999999999999,1
c:12173,Sentrigo,acquired,1,0.6,4.2247,9,3,9500000,2,-0.7479,4.4767,2.0,CA,software,0,0,1,1,1,0,1,6.977723651004054,5.224600000000001,3.6247000000000003,1
c:44650,Netli,acquired,1,6.1233,6.1233,9,1,18000000,1,6.0055,6.0055,7.0,CA,network_hosting,1,0,0,0,0,0,1,7.255272529230776,0.0,0.0,1
c:70021,Define My Style,closed,0,1.8329,1.8329,4,1,690000,1,1.7479,1.7479,3.0,OH,web,0,1,0,0,0,0,1,5.838849720149092,0.0,0.0,1
c:17660,Firethorn,acquired,1,5.1644,6.0055,1,3,25131611,0,,,1.0,GA,mobile,1,0,0,1,0,0,1,7.400220346143387,,0.8411,0
c:51745,Wellcore,closed,0,3.5288,3.5288,1,1,2000000,0,,,1.0,CA,hardware,0,0,0,0,0,0,1,6.301030212811168,,0.0,0
c:25324,Taligen Therapeutics,acquired,1,1.5836,6.6466,4,3,78750000,2,5.0055,7.0877,3.5,MA,biotech,0,0,1,1,0,0,1,7.896250567976488,2.0822000000000003,5.063000000000001,1
c:77,Adap.tv,acquired,1,0.2521,4.4055,27,5,48500000,3,3.3151,6.7918,2.5,CA,advertising,1,1,1,1,1,0,1,7.685741747556789,3.4767,4.1533999999999995,1
c:1895,Current Media,closed,0,0.5726,0.5726,12,1,15000000,2,5.1671,8.0082,3.0,CA,network_hosting,0,0,1,0,0,0,0,7.176091288008646,2.841100000000001,0.0,1
c:16593,ParAccel,acquired,1,0.9397,5.3178,13,5,74000000,0,,,5.3333,CA,analytics,1,0,0,1,1,0,1,7.86923172559982,,4.3781,0
c:16289,Arch Rock Corporation,acquired,1,0.7479,2.3315,6,2,15000000,1,2.0,2.0,3.0,CA,software,0,0,1,1,0,0,1,7.176091288008646,0.0,1.5836000000000001,1
c:575,SpiralFrog,closed,0,2.0027,3.9178,8,3,45000000,3,3.0027,5.2192,1.0,NY,games_video,0,0,1,0,0,0,0,7.653212523426332,2.2165,1.9151000000000002,1
c:15562,Plusmo,acquired,1,1.9178,1.9178,4,1,4410000,1,2.0027,2.0027,1.0,CA,mobile,0,0,1,0,0,0,1,6.644438687947302,0.0,0.0,1
c:62432,ZipList,acquired,1,0.0,0.8959,9,2,4500000,2,2.0,2.6767,2.0,VA,web,0,0,1,1,0,0,1,6.653212610285218,0.6766999999999999,0.8959,1
c:8100,Involver,acquired,1,1.6712,3.7863,11,3,11040000,2,4.6685,5.6849,2.5,CA,software,0,0,1,1,1,0,1,7.042969112731447,1.0164,2.1151,1
c:62262,Lionside,acquired,1,1.8822,1.8822,6,1,1600000,2,1.3288,2.9479,3.0,CA,games_video,0,0,1,0,0,0,1,6.204120254089891,1.6191000000000002,0.0,1
c:3686,Game Trust,acquired,1,3.4164,3.874,3,2,9000000,1,7.7534,7.7534,4.0,NY,software,1,0,0,1,0,0,1,6.954242557694265,0.0,0.45760000000000023,1
c:82805,Nearbuy Systems,acquired,1,1.3041,2.6493,4,3,3282327,2,0.0,3.6767,2.0,CA,analytics,1,0,0,0,0,0,1,6.516181977531349,3.6767,1.3452000000000002,1
c:196,Visible Path,acquired,1,4.1644,4.1644,5,2,24700000,5,5.5836,11.3918,4.0,CA,web,0,0,1,1,0,0,1,7.3926969708424375,5.8082,0.0,1
